id,condition,norm,profile,age,gender,norm_perc,disclosure
55,n20_p80,n20,p80,29,0,5.416666666666667,2.6666666666666665
56,n20_p80,n20,p80,28,1,5.333333333333333,5.666666666666667
57,n80_p80,n80,p80,24,1,4.75,5.166666666666667
58,n20_p20,n20,p20,24,1,4.833333333333333,2.6666666666666665
59,n20_p20,n20,p20,43,0,3.75,4
60,n0_p20,n0,p20,39,1,NA,3.3333333333333335
61,n20_p20,n20,p20,60,1,2.9166666666666665,1.8333333333333333
62,n0_p0,n0,p0,36,0,4.5,5.833333333333333
63,n20_p80,n20,p80,40,1,5.25,4
64,n0_p20,n0,p20,70,1,2.3636363636363638,2
65,n20_p20,n20,p20,46,0,5.583333333333333,2.5
66,n80_p0,n80,p0,27,1,6.583333333333333,4.666666666666667
67,n80_p20,n80,p20,31,0,6.083333333333333,2.5
68,n0_p0,n0,p0,27,0,2,2.5
69,n0_p80,n0,p80,38,1,2.8333333333333335,2.6666666666666665
70,n20_p0,n20,p0,30,0,5.083333333333333,6.333333333333333
71,n80_p20,n80,p20,37,1,6.166666666666667,3.8333333333333335
72,n80_p0,n80,p0,32,1,5.833333333333333,4.5
73,n80_p20,n80,p20,30,1,5.75,1.1666666666666667
74,n0_p80,n0,p80,47,1,2.0833333333333335,1.6666666666666667
75,n0_p20,n0,p20,47,0,1.5,2.8333333333333335
76,n80_p80,n80,p80,28,0,5.75,5.166666666666667
77,n80_p20,n80,p20,41,0,6.583333333333333,1.5
78,n0_p80,n0,p80,64,1,3.5833333333333335,5.833333333333333
79,n0_p80,n0,p80,29,0,6.083333333333333,6
80,n80_p0,n80,p0,49,1,6.666666666666667,2.5
81,n20_p80,n20,p80,22,1,5.25,2.1666666666666665
82,n0_p80,n0,p80,24,0,1.5833333333333333,6.833333333333333
83,n20_p0,n20,p0,32,1,3.9166666666666665,4.833333333333333
84,n20_p0,n20,p0,52,0,2.9166666666666665,1.5
85,n0_p20,n0,p20,44,0,2,2.5
86,n0_p0,n0,p0,32,0,6,5.666666666666667
87,n0_p80,n0,p80,36,0,6,5.833333333333333
88,n80_p80,n80,p80,49,1,7,5.333333333333333
89,n20_p20,n20,p20,44,0,5.583333333333333,6
90,n20_p80,n20,p80,33,0,4.083333333333333,2.8333333333333335
91,n0_p0,n0,p0,26,1,2.25,1.8333333333333333
92,n0_p20,n0,p20,23,0,2.090909090909091,2
93,n20_p0,n20,p0,28,1,5.333333333333333,6
94,n80_p20,n80,p20,34,0,6,6
95,n0_p0,n0,p0,44,0,3,2.6666666666666665
96,n0_p80,n0,p80,44,0,2,2
97,n20_p20,n20,p20,42,1,4.5,3.3333333333333335
98,n20_p20,n20,p20,25,0,4.166666666666667,4
99,n80_p0,n80,p0,63,1,6,2.6666666666666665
100,n80_p80,n80,p80,55,0,6.25,1.3333333333333333
101,n20_p80,n20,p80,33,0,5.833333333333333,6.166666666666667
102,n80_p80,n80,p80,32,0,5.333333333333333,3.1666666666666665
103,n0_p0,n0,p0,25,0,3.75,2.1666666666666665
104,n20_p80,n20,p80,19,0,4.916666666666667,6.166666666666667
105,n20_p0,n20,p0,31,1,4.833333333333333,5.5
106,n80_p80,n80,p80,50,1,7,7
107,n80_p20,n80,p20,33,1,5.833333333333333,5.166666666666667
108,n80_p0,n80,p0,26,1,6.5,1
109,n20_p0,n20,p0,39,0,3.0833333333333335,3.3333333333333335
110,n0_p0,n0,p0,23,0,2.25,2.6666666666666665
111,n0_p80,n0,p80,47,0,3.25,2
112,n80_p80,n80,p80,24,1,5.583333333333333,2.1666666666666665
113,n20_p80,n20,p80,44,0,5.25,5.333333333333333
114,n20_p20,n20,p20,33,1,3.5454545454545454,4.5
115,n0_p20,n0,p20,31,1,2.0833333333333335,1.6666666666666667
116,n0_p0,n0,p0,26,0,4.083333333333333,3.8333333333333335
117,n20_p80,n20,p80,55,0,1.1666666666666667,1.5
118,n80_p0,n80,p0,60,0,7,5.333333333333333
119,n80_p20,n80,p20,28,1,5.166666666666667,5.833333333333333
120,n0_p20,n0,p20,29,1,1,1.8333333333333333
121,n20_p0,n20,p0,38,0,3.6666666666666665,2.6666666666666665
122,n80_p20,n80,p20,30,1,6.5,5
123,n20_p80,n20,p80,44,1,4.25,2
124,n80_p20,n80,p20,64,0,4.916666666666667,1.8333333333333333
125,n80_p80,n80,p80,56,1,5.833333333333333,2.1666666666666665
126,n20_p20,n20,p20,22,1,4.583333333333333,2.5
127,n20_p0,n20,p0,45,1,4,2
128,n0_p0,n0,p0,56,1,1,1.6666666666666667
129,n0_p80,n0,p80,57,0,3.5,2.8333333333333335
130,n0_p20,n0,p20,47,0,4.833333333333333,5.666666666666667
131,n0_p80,n0,p80,25,1,2.5,2.5
132,n20_p20,n20,p20,28,1,4,4
133,n80_p80,n80,p80,63,0,5.75,6
134,n0_p20,n0,p20,60,0,3.0833333333333335,2.8333333333333335
135,n20_p20,n20,p20,19,0,5,1.8333333333333333
136,n80_p20,n80,p20,33,1,7,1.5
137,n80_p0,n80,p0,65,1,4.333333333333333,1
138,n0_p80,n0,p80,32,0,3.75,4
139,n20_p80,n20,p80,38,1,2.9166666666666665,2.3333333333333335
140,n20_p0,n20,p0,44,0,3.3333333333333335,4.5
141,n80_p0,n80,p0,45,1,3.5,3.3333333333333335
142,n0_p0,n0,p0,50,1,3.4166666666666665,2
143,n0_p80,n0,p80,25,0,5,6
144,n0_p0,n0,p0,37,1,2.1666666666666665,2
145,n20_p80,n20,p80,31,1,6.083333333333333,3.6666666666666665
146,n80_p80,n80,p80,43,1,5,5
147,n20_p0,n20,p0,45,0,3.3333333333333335,3.3333333333333335
148,n0_p20,n0,p20,24,1,4,3.3333333333333335
149,n20_p20,n20,p20,25,1,6.333333333333333,6.333333333333333
150,n0_p0,n0,p0,32,0,2.5,1.8333333333333333
151,n80_p20,n80,p20,59,1,6.166666666666667,2.3333333333333335
152,n20_p80,n20,p80,55,1,3.8333333333333335,3.3333333333333335
153,n0_p80,n0,p80,25,0,1.75,2.1666666666666665
154,n80_p80,n80,p80,25,1,5.25,3.3333333333333335
155,n0_p20,n0,p20,32,1,1.25,2.1666666666666665
156,n80_p20,n80,p20,71,1,5.583333333333333,3.5
157,n80_p20,n80,p20,28,1,5.166666666666667,6.333333333333333
158,n80_p80,n80,p80,25,1,6.083333333333333,5.5
159,n80_p0,n80,p0,30,0,4.833333333333333,5.5
160,n20_p80,n20,p80,46,1,5.75,3.6666666666666665
161,n0_p20,n0,p20,35,0,1,3.1666666666666665
162,n20_p20,n20,p20,27,0,5.166666666666667,6.166666666666667
163,n20_p80,n20,p80,49,0,5.916666666666667,7
164,n0_p0,n0,p0,30,0,1,1.8333333333333333
165,n0_p0,n0,p0,60,1,2.3333333333333335,1.8333333333333333
166,n0_p80,n0,p80,27,1,4.166666666666667,3.6666666666666665
167,n80_p20,n80,p20,31,1,7,5.333333333333333
168,n80_p80,n80,p80,50,0,5.666666666666667,5.5
169,n0_p20,n0,p20,45,0,1,1.8333333333333333
170,n0_p80,n0,p80,40,0,1.5,1.6666666666666667
171,n80_p0,n80,p0,40,0,6.25,5.333333333333333
172,n80_p80,n80,p80,31,0,7,3.3333333333333335
173,n80_p0,n80,p0,38,0,6.75,6.666666666666667
174,n0_p20,n0,p20,59,0,2,3.6666666666666665
175,n80_p20,n80,p20,51,1,6.416666666666667,5
176,n0_p0,n0,p0,29,1,1,2.3333333333333335
177,n0_p0,n0,p0,46,0,2.4166666666666665,2.3333333333333335
178,n20_p0,n20,p0,33,0,6,2
179,n0_p80,n0,p80,33,0,3.3333333333333335,1
180,n20_p20,n20,p20,33,0,6,2
181,n20_p80,n20,p80,52,0,4.833333333333333,2.5
182,n80_p80,n80,p80,37,0,5.166666666666667,5
183,n0_p80,n0,p80,33,0,2.5833333333333335,4.333333333333333
184,n80_p0,n80,p0,37,1,5.5,6.333333333333333
185,n20_p0,n20,p0,51,1,5.333333333333333,6
186,n20_p80,n20,p80,42,1,3.3333333333333335,2.3333333333333335
187,n20_p20,n20,p20,35,1,4.2727272727272725,4.166666666666667
188,n80_p20,n80,p20,33,0,5.75,4.5
189,n20_p0,n20,p0,22,0,4.833333333333333,5.4
190,n0_p0,n0,p0,43,0,3.0833333333333335,4
191,n80_p20,n80,p20,27,0,5.916666666666667,5.166666666666667
192,n80_p20,n80,p20,24,0,3.3333333333333335,3.3333333333333335
193,n0_p20,n0,p20,31,0,3.8333333333333335,3.6666666666666665
194,n80_p80,n80,p80,35,1,6.333333333333333,3.8333333333333335
195,n0_p80,n0,p80,30,1,2.3333333333333335,1.5
196,n20_p20,n20,p20,39,1,4,3.5
197,n80_p0,n80,p0,59,1,5.5,1.8333333333333333
198,n0_p0,n0,p0,31,1,2.1666666666666665,2.8333333333333335
199,n80_p80,n80,p80,25,1,7,1
200,n20_p80,n20,p80,25,1,4.166666666666667,3.6666666666666665
201,n20_p80,n20,p80,21,0,4,4
202,n0_p80,n0,p80,29,1,2.75,2.6666666666666665
203,n20_p20,n20,p20,62,0,4.833333333333333,3.3333333333333335
204,n80_p0,n80,p0,33,1,5.166666666666667,5.666666666666667
205,n0_p80,n0,p80,37,1,3.75,2.1666666666666665
206,n0_p0,n0,p0,25,0,1.25,2
207,n20_p20,n20,p20,40,0,4.833333333333333,1
208,n80_p80,n80,p80,27,1,6.833333333333333,7
209,n80_p20,n80,p20,38,0,6,1
210,n20_p0,n20,p0,26,1,4.666666666666667,4
211,n0_p20,n0,p20,29,1,4.333333333333333,3.8333333333333335
212,n20_p80,n20,p80,43,1,3.25,2.6666666666666665
213,n20_p0,n20,p0,35,0,5.333333333333333,5
214,n0_p20,n0,p20,46,0,1.75,2.5
215,n20_p0,n20,p0,23,1,3,4
216,n80_p0,n80,p0,25,1,4.416666666666667,3.1666666666666665
217,n0_p80,n0,p80,28,1,2.8333333333333335,1
218,n80_p20,n80,p20,34,1,6.583333333333333,6.5
219,n80_p80,n80,p80,31,1,5,4.333333333333333
220,n20_p80,n20,p80,34,0,5.833333333333333,5.333333333333333
221,n0_p0,n0,p0,48,1,1.9166666666666667,1.1666666666666667
222,n0_p20,n0,p20,26,1,1,1
223,n20_p20,n20,p20,35,0,5.583333333333333,5.666666666666667
224,n20_p20,n20,p20,35,1,4.083333333333333,4.333333333333333
225,n80_p20,n80,p20,30,1,5.25,4.666666666666667
226,n0_p80,n0,p80,27,1,3.4166666666666665,2.3333333333333335
227,n20_p80,n20,p80,23,1,6.5,6.666666666666667
228,n20_p20,n20,p20,32,1,6.25,6.333333333333333
229,n80_p80,n80,p80,32,1,5.916666666666667,5.5
230,n20_p0,n20,p0,50,0,3.1666666666666665,5.5
231,n0_p0,n0,p0,43,1,1.8333333333333333,3
232,n0_p20,n0,p20,21,0,3.1666666666666665,4.166666666666667
233,n80_p0,n80,p0,25,1,4.666666666666667,5.333333333333333
234,n80_p0,n80,p0,42,0,6.5,3.5
235,n20_p80,n20,p80,28,1,3,1.6666666666666667
236,n80_p20,n80,p20,36,1,6.583333333333333,4.666666666666667
237,n80_p80,n80,p80,51,0,6.583333333333333,4.5
238,n80_p0,n80,p0,40,1,3.75,3.1666666666666665
239,n0_p0,n0,p0,38,1,1,1.6666666666666667
240,n80_p20,n80,p20,36,1,6.083333333333333,5
241,n0_p80,n0,p80,44,1,2.3333333333333335,1
242,n0_p0,n0,p0,47,0,4.583333333333333,5
243,n0_p80,n0,p80,52,0,1.8333333333333333,4.166666666666667
244,n20_p80,n20,p80,28,0,6.5,4.5
245,n0_p20,n0,p20,21,1,3.0833333333333335,2.8333333333333335
246,n20_p20,n20,p20,62,1,4.818181818181818,1
247,n20_p20,n20,p20,29,0,5.25,5.333333333333333
248,n0_p20,n0,p20,29,1,2,2.8333333333333335
249,n80_p0,n80,p0,33,1,5,5
250,n0_p80,n0,p80,37,1,1,1
251,n20_p0,n20,p0,51,0,4.916666666666667,2.3333333333333335
252,n80_p20,n80,p20,54,1,5.7272727272727275,1.6666666666666667
253,n20_p80,n20,p80,43,0,4.916666666666667,5.833333333333333
254,n80_p80,n80,p80,37,1,6.833333333333333,5.5
255,n0_p20,n0,p20,27,1,2,1.1666666666666667
256,n0_p0,n0,p0,39,1,1,1
257,n80_p0,n80,p0,35,1,5.5,4.666666666666667
258,n80_p80,n80,p80,35,1,6.833333333333333,6
259,n20_p20,n20,p20,27,1,4,4
260,n20_p0,n20,p0,57,1,4.416666666666667,4.333333333333333
261,n20_p80,n20,p80,31,1,2.4166666666666665,1.6666666666666667
262,n20_p0,n20,p0,26,1,3.75,3
263,n80_p0,n80,p0,72,0,5.75,5.333333333333333
264,n0_p80,n0,p80,31,1,1.4166666666666667,1.1666666666666667
265,n0_p20,n0,p20,35,1,2,3.1666666666666665
266,n0_p0,n0,p0,45,0,3.272727272727273,1.6666666666666667
267,n80_p20,n80,p20,22,0,6.333333333333333,5.833333333333333
268,n20_p0,n20,p0,22,0,4,1.6666666666666667
269,n20_p80,n20,p80,26,1,5.25,5
270,n0_p0,n0,p0,32,0,2.3333333333333335,3.3333333333333335
271,n80_p80,n80,p80,59,1,6.583333333333333,4.666666666666667
272,n0_p0,n0,p0,58,1,4.333333333333333,4.333333333333333
273,n0_p80,n0,p80,47,0,3.5833333333333335,2
274,n0_p20,n0,p20,35,1,1,1.5
275,n20_p20,n20,p20,23,0,4.833333333333333,4.833333333333333
276,n20_p0,n20,p0,32,0,5.166666666666667,4.833333333333333
277,n0_p20,n0,p20,23,1,3,2.1666666666666665
278,n20_p20,n20,p20,44,0,4.833333333333333,6.166666666666667
279,n80_p0,n80,p0,59,1,4.833333333333333,3.6666666666666665
280,n0_p80,n0,p80,47,0,5.25,5.333333333333333
281,n80_p0,n80,p0,27,1,5.416666666666667,2.8333333333333335
282,n80_p80,n80,p80,36,1,6.416666666666667,5.666666666666667
283,n20_p80,n20,p80,58,1,3.75,2
284,n20_p20,n20,p20,37,1,5.833333333333333,2
285,n0_p20,n0,p20,29,1,1.4166666666666667,3.3333333333333335
286,n0_p0,n0,p0,41,1,1.8333333333333333,1.5
287,n80_p0,n80,p0,25,1,6.583333333333333,3.1666666666666665
288,n80_p80,n80,p80,35,1,4,1
289,n0_p80,n0,p80,61,1,5.666666666666667,5.5
290,n20_p0,n20,p0,24,1,5,1.6666666666666667
291,n80_p20,n80,p20,26,1,6.416666666666667,6.5
292,n20_p20,n20,p20,40,1,4,4.333333333333333
293,n20_p0,n20,p0,29,0,4.666666666666667,4
294,n20_p80,n20,p80,32,1,2.9166666666666665,3.8333333333333335
295,n0_p0,n0,p0,32,0,5.583333333333333,6.166666666666667
296,n0_p20,n0,p20,35,1,2.0833333333333335,1.6666666666666667
297,n80_p0,n80,p0,27,1,4.333333333333333,4.166666666666667
298,n20_p80,n20,p80,32,0,5.333333333333333,6.333333333333333
299,n0_p0,n0,p0,33,1,2,2.1666666666666665
300,n0_p20,n0,p20,37,1,1.5833333333333333,1.8333333333333333
301,n0_p80,n0,p80,40,0,3.5833333333333335,4.833333333333333
302,n80_p20,n80,p20,65,0,5.5,4.5
303,n80_p0,n80,p0,27,1,5.5,4.5
304,n0_p80,n0,p80,48,1,3.75,2.3333333333333335
305,n80_p80,n80,p80,42,0,5.833333333333333,5.166666666666667
306,n20_p80,n20,p80,44,0,4.75,5.333333333333333
307,n20_p0,n20,p0,30,1,5.083333333333333,5.166666666666667
308,n20_p20,n20,p20,22,1,5.666666666666667,5.833333333333333
309,n20_p20,n20,p20,46,0,4.25,4
310,n0_p0,n0,p0,29,1,5.916666666666667,5.833333333333333
311,n80_p80,n80,p80,35,1,6.333333333333333,5.833333333333333
312,n0_p20,n0,p20,42,0,2.0833333333333335,1.8333333333333333
313,n0_p80,n0,p80,44,0,1.0833333333333333,1.1666666666666667
314,n80_p20,n80,p20,27,1,4,4.666666666666667
315,n0_p20,n0,p20,23,0,1.5833333333333333,1.1666666666666667
316,n0_p80,n0,p80,32,1,1,1
317,n80_p0,n80,p0,22,0,5.833333333333333,2.8333333333333335
318,n20_p0,n20,p0,29,1,4.916666666666667,4.833333333333333
319,n0_p80,n0,p80,34,0,2.0833333333333335,2
320,n0_p0,n0,p0,45,1,1,1.3333333333333333
321,n20_p20,n20,p20,24,1,5,2.6666666666666665
322,n20_p80,n20,p80,37,0,4.75,2.8333333333333335
323,n80_p20,n80,p20,27,1,4.833333333333333,6.666666666666667
324,n20_p0,n20,p0,27,1,5.166666666666667,7
325,n0_p0,n0,p0,50,0,2.5833333333333335,1.8
326,n0_p20,n0,p20,38,0,1.4166666666666667,2.1666666666666665
327,n80_p0,n80,p0,54,0,6,2.5
328,n20_p80,n20,p80,23,1,5.416666666666667,5.5
329,n80_p80,n80,p80,27,1,5.75,5.833333333333333
330,n0_p0,n0,p0,34,0,1.9166666666666667,1.5
331,n20_p0,n20,p0,32,0,2.75,1
332,n0_p20,n0,p20,29,0,1,1
333,n80_p80,n80,p80,58,1,4.75,1.3333333333333333
334,n0_p80,n0,p80,58,1,1.8333333333333333,1
335,n80_p20,n80,p20,25,1,4.583333333333333,4.5
336,n20_p80,n20,p80,28,1,5.166666666666667,5.333333333333333
337,n20_p20,n20,p20,36,0,6.5,6.5
338,n0_p0,n0,p0,30,0,6.333333333333333,6.333333333333333
339,n80_p0,n80,p0,32,0,6,6
340,n20_p0,n20,p0,38,0,7,6.666666666666667
341,n80_p0,n80,p0,48,1,5.833333333333333,2.5
342,n80_p20,n80,p20,25,2,6.75,6.5
343,n0_p80,n0,p80,42,1,1.6666666666666667,2
344,n20_p20,n20,p20,28,0,4.583333333333333,1
345,n20_p80,n20,p80,27,1,5,6.166666666666667
346,n80_p80,n80,p80,46,1,6.083333333333333,4.333333333333333
347,n20_p80,n20,p80,30,0,5.416666666666667,3.8333333333333335
348,n0_p80,n0,p80,47,0,1,1
349,n80_p0,n80,p0,34,0,6.416666666666667,7
350,n20_p20,n20,p20,40,0,4,4
351,n80_p20,n80,p20,40,1,4,4
352,n80_p20,n80,p20,52,1,4.75,4.5
353,n0_p0,n0,p0,45,0,2.1666666666666665,1.3333333333333333
354,n0_p80,n0,p80,34,0,3.25,1.1666666666666667
355,n0_p20,n0,p20,51,1,1.75,2.3333333333333335
356,n20_p80,n20,p80,35,1,5.583333333333333,5.5
357,n20_p0,n20,p0,35,0,5.5,5.666666666666667
358,n0_p20,n0,p20,25,1,4.25,2.6666666666666665
359,n80_p0,n80,p0,46,0,6.333333333333333,6.833333333333333
360,n0_p0,n0,p0,35,1,1,1.6666666666666667
361,n80_p80,n80,p80,48,1,4,6
362,n20_p20,n20,p20,32,1,5.916666666666667,3.8333333333333335
363,n0_p0,n0,p0,67,0,3.3333333333333335,1
364,n0_p80,n0,p80,26,1,2.25,2.3333333333333335
365,n20_p80,n20,p80,40,1,5,3.3333333333333335
366,n80_p80,n80,p80,37,1,5.416666666666667,4.666666666666667
367,n20_p20,n20,p20,31,1,2.3333333333333335,5
368,n0_p20,n0,p20,36,0,4.916666666666667,2.5
369,n20_p0,n20,p0,57,0,3.75,3
370,n80_p0,n80,p0,48,1,6,3.1666666666666665
371,n20_p0,n20,p0,40,0,2.9166666666666665,1.5
372,n0_p80,n0,p80,36,1,3.5,1
373,n0_p0,n0,p0,39,1,3.75,2.3333333333333335
374,n20_p80,n20,p80,30,1,5.166666666666667,3.8333333333333335
375,n80_p20,n80,p20,55,0,6.083333333333333,2.8333333333333335
376,n20_p0,n20,p0,26,1,4.416666666666667,4
377,n0_p0,n0,p0,58,0,3.5833333333333335,3.1666666666666665
378,n80_p80,n80,p80,33,1,5.416666666666667,5.5
379,n80_p80,n80,p80,36,0,6.333333333333333,5.166666666666667
380,n80_p20,n80,p20,44,1,2.5,3.5
381,n20_p80,n20,p80,25,0,2.75,2.1666666666666665
382,n80_p0,n80,p0,27,0,5.166666666666667,5.333333333333333
383,n20_p20,n20,p20,31,0,4.083333333333333,4
384,n20_p20,n20,p20,28,0,4.666666666666667,4.5
385,n0_p80,n0,p80,26,1,1.4166666666666667,2.3333333333333335
386,n0_p80,n0,p80,37,0,5.583333333333333,6.166666666666667
387,n0_p0,n0,p0,40,1,3.1666666666666665,2
388,n0_p20,n0,p20,29,0,1.25,1
389,n80_p80,n80,p80,32,0,5.916666666666667,4.166666666666667
390,n0_p0,n0,p0,25,0,4.416666666666667,2.8333333333333335
391,n80_p20,n80,p20,28,0,7,1.5
392,n80_p0,n80,p0,31,1,6.5,1.1666666666666667
393,n20_p80,n20,p80,41,1,5.083333333333333,4.833333333333333
394,n20_p80,n20,p80,46,1,2.5,7
395,n20_p0,n20,p0,31,1,3.0833333333333335,3.3333333333333335
396,n0_p20,n0,p20,37,0,1.1666666666666667,1.1666666666666667
397,n20_p0,n20,p0,30,1,5.75,5.333333333333333
398,n80_p0,n80,p0,39,1,6.166666666666667,3.1666666666666665
399,n80_p80,n80,p80,31,0,6.416666666666667,6.333333333333333
400,n80_p20,n80,p20,52,1,5.583333333333333,3.5
401,n0_p0,n0,p0,35,0,3.1666666666666665,2.1666666666666665
402,n0_p80,n0,p80,30,0,2.25,2.5
403,n80_p80,n80,p80,28,1,6.75,4.666666666666667
404,n80_p0,n80,p0,34,1,5.833333333333333,3.3333333333333335
405,n80_p20,n80,p20,48,1,5.666666666666667,5.166666666666667
406,n20_p20,n20,p20,29,1,3.9166666666666665,5
407,n20_p80,n20,p80,26,1,4.75,4.333333333333333
408,n0_p20,n0,p20,32,1,1.4166666666666667,2.6666666666666665
409,n20_p20,n20,p20,33,1,2.0833333333333335,3.6666666666666665
410,n20_p80,n20,p80,23,0,5,6
411,n80_p20,n80,p20,35,1,6.333333333333333,5.833333333333333
412,n0_p20,n0,p20,34,1,1.4166666666666667,2.5
413,n0_p80,n0,p80,22,1,2,1.6666666666666667
414,n20_p20,n20,p20,20,1,3.75,4
415,n0_p0,n0,p0,31,1,1.8333333333333333,3.1666666666666665
416,n80_p80,n80,p80,51,1,4.416666666666667,2.6666666666666665
417,n80_p0,n80,p0,28,0,5.416666666666667,6
418,n20_p0,n20,p0,39,0,7,1
419,n0_p20,n0,p20,31,0,1.4166666666666667,2.5
420,n80_p0,n80,p0,25,0,4.166666666666667,4.666666666666667
421,n0_p0,n0,p0,31,0,3.25,2
422,n80_p20,n80,p20,34,1,5.75,1.6666666666666667
423,n20_p80,n20,p80,30,0,4.75,2.3333333333333335
424,n80_p80,n80,p80,35,1,5.25,4.166666666666667
425,n20_p20,n20,p20,40,1,6.583333333333333,5.5
426,n0_p80,n0,p80,24,1,2.1666666666666665,2.6666666666666665
427,n0_p20,n0,p20,26,1,2.0833333333333335,2
428,n20_p0,n20,p0,26,0,4.583333333333333,3.8333333333333335
429,n0_p80,n0,p80,37,1,1,1.5
430,n20_p20,n20,p20,31,1,3.3333333333333335,3.6666666666666665
431,n20_p80,n20,p80,47,1,5.416666666666667,4.166666666666667
432,n80_p0,n80,p0,42,1,6.25,6
433,n80_p20,n80,p20,37,1,4,2.1666666666666665
434,n80_p80,n80,p80,23,1,5.333333333333333,5.333333333333333
435,n20_p0,n20,p0,42,0,5.083333333333333,2.8333333333333335
436,n80_p20,n80,p20,28,1,6.666666666666667,5.833333333333333
437,n20_p0,n20,p0,32,0,4.25,3
438,n0_p80,n0,p80,25,1,3.0833333333333335,2.5
439,n80_p80,n80,p80,24,1,3.6666666666666665,4.666666666666667
440,n20_p80,n20,p80,36,0,5.333333333333333,3.8333333333333335
441,n20_p20,n20,p20,29,1,3.25,3.8333333333333335
442,n0_p0,n0,p0,67,0,4,1.6666666666666667
443,n0_p20,n0,p20,43,0,1.4166666666666667,2
444,n20_p80,n20,p80,43,0,5.166666666666667,6
445,n0_p0,n0,p0,60,1,3.3333333333333335,3
446,n20_p20,n20,p20,26,1,5.083333333333333,2.1666666666666665
447,n80_p80,n80,p80,29,1,6.25,5.166666666666667
448,n20_p20,n20,p20,34,0,6.833333333333333,1.6666666666666667
449,n0_p80,n0,p80,33,1,2,2.3333333333333335
450,n20_p80,n20,p80,34,0,2.5,2.5
451,n80_p80,n80,p80,31,1,5.416666666666667,4.166666666666667
452,n0_p20,n0,p20,29,1,5.666666666666667,3.6666666666666665
453,n80_p0,n80,p0,43,1,6,4.5
454,n0_p80,n0,p80,32,0,2.5,1.8333333333333333
455,n0_p0,n0,p0,37,1,2.8333333333333335,4.666666666666667
456,n20_p0,n20,p0,70,1,5.583333333333333,5
457,n0_p0,n0,p0,41,1,3.8333333333333335,4
458,n80_p0,n80,p0,25,0,6.333333333333333,5.833333333333333
459,n20_p0,n20,p0,69,1,2.6666666666666665,2.8333333333333335
